,Business,Entertainment,Food,Science,Culture,Health,Politics,International,Sport,Technology,Economy
139key,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139maximizer,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139microsoft,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13growing,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00261109225571,0.0,0.0,0.0
140netsuite,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140oracle,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141salesforcecom,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142selligent,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142splendidcrm,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142sugarcrm,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142swiftpage,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143bmarket,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143vtiger,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143webcrm,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144table,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145table,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146amarket,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146analysis,0.0,0.0,0.0,0.00057158460784,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146bmarket,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
147table,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00112357699033,0.0
14cancer,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14cardiovascular,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14product,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045928321516,0.0,0.0
14table,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045928321516,0.0,0.0
151amarket,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151bmarket,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151product,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151strategic,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152table,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154amarket,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154key,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154market,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154strategic,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157bmarket,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158table,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15differential,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15increasing,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15s,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045928321516,0.0,0.0
15social,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15table,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15traditional,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,0.0,0.00176048074894,0.0,0.0,0.0,0.0,0.000955269372949,0.0,0.000345250874919,0.0,0.0
160amarket,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160market,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160product,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161strategic,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164bmarket,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165table,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16participation,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16s,0.0,0.00234194702269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16social,0.0,0.0,0.0,0.00028579230392,0.0,0.0,0.0,0.0,0.0,0.0,0.0
