Word,Specificity Score
hematopoeisis,1.8928571428571428
hermaphrodite,1.8928571428571428
home-certified,1.8928571428571428
home-like,1.8928571428571428
homosexually,1.8928571428571428
humoural,1.8928571428571428
hygienal,1.8928571428571428
hyperswarm,1.8928571428571428
hyposplenism,1.8928571428571428
impure,1.8928571428571428
individual-basis,1.8928571428571428
industrial-strength,1.8928571428571428
inedited,1.8928571428571428
institutitons,1.8928571428571428
intraoperatively,1.8928571428571428
ism,1.8928571428571428
killed-whole-cell,1.8928571428571428
labor-productivity,1.8928571428571428
later-generation,1.8928571428571428
leaf-like,1.8928571428571428
ledger,1.8928571428571428
leptospiral,1.8928571428571428
less-educated,1.8928571428571428
life-stage,1.8928571428571428
lipopolysaccaride,1.8928571428571428
low-fodmaps,1.8928571428571428
low-normal,1.8928571428571428
lower-risk,1.8928571428571428
main-belt,1.8928571428571428
malaria-afflicted,1.8928571428571428
meningoccocal,1.8928571428571428
meta-information,1.8928571428571428
metonymy,1.8928571428571428
microstaged,1.8928571428571428
milestone-driven,1.8928571428571428
motorcar,1.8928571428571428
muck,1.8928571428571428
muckraker,1.8928571428571428
multi-stage,1.8928571428571428
musculo-skeletal,1.8928571428571428
network-tiered,1.8928571428571428
neuro-oncological,1.8928571428571428
nickel-sensitized,1.8928571428571428
nitrosated,1.8928571428571428
no-transplant,1.8928571428571428
non-deleted,1.8928571428571428
non-english-speaking,1.8928571428571428
non-hispanics,1.8928571428571428
non-soap-opera,1.8928571428571428
nonskeletal,1.8928571428571428
nonsquamous,1.8928571428571428
nougat-filled,1.8928571428571428
nummus,1.8928571428571428
oncocerchiasis,1.8928571428571428
organically,1.8928571428571428
outmoded,1.8928571428571428
outro,1.8928571428571428
out’,1.8928571428571428
over-investigation,1.8928571428571428
palaeohemispheres,1.8928571428571428
para-immune,1.8928571428571428
passively-acquired,1.8928571428571428
pentetreotide,1.8928571428571428
perimenopause,1.8928571428571428
pig-based,1.8928571428571428
pinkie,1.8928571428571428
plug-in,1.8928571428571428
point-based,1.8928571428571428
polomyelitis,1.8928571428571428
post-mbbs,1.8928571428571428
pre-nominal,1.8928571428571428
prevention-prepared,1.8928571428571428
pricey,1.8928571428571428
pro-transformation,1.8928571428571428
pro-tumor,1.8928571428571428
progressors,1.8928571428571428
projectionist,1.8928571428571428
radical-mediated,1.8928571428571428
radiobacter,1.8928571428571428
re-feed,1.8928571428571428
re-made,1.8928571428571428
reapply,1.8928571428571428
reflector,1.8928571428571428
respriatory,1.8928571428571428
retrievable,1.8928571428571428
revertant,1.8928571428571428
rhabdomyosarcogenesis,1.8928571428571428
risk-reducing,1.8928571428571428
roneoed,1.8928571428571428
school-lunch,1.8928571428571428
schoolmaster,1.8928571428571428
scrunity,1.8928571428571428
selecting,1.8928571428571428
self-amplifying,1.8928571428571428
semioticians,1.8928571428571428
sepparating,1.8928571428571428
shaky,1.8928571428571428
shift-work,1.8928571428571428
similarilities,1.8928571428571428
singaling,1.8928571428571428
single-antigen,1.8928571428571428
single-exon,1.8928571428571428
single-jab,1.8928571428571428
six-shot,1.8928571428571428
six-to-seven-week,1.8928571428571428
small-round,1.8928571428571428
socioecomonic,1.8928571428571428
sociologic,1.8928571428571428
sometimes-fatal,1.8928571428571428
speedweaver,1.8928571428571428
spider-sense,1.8928571428571428
spider-slayers,1.8928571428571428
splenectomized,1.8928571428571428
squabble,1.8928571428571428
stand-alones,1.8928571428571428
sub-par,1.8928571428571428
subcluster,1.8928571428571428
subcomponent,1.8928571428571428
suicided,1.8928571428571428
suntan-like,1.8928571428571428
surgery-free,1.8928571428571428
swayback,1.8928571428571428
sweets-like,1.8928571428571428
synergizing,1.8928571428571428
systems’,1.8928571428571428
taravana,1.8928571428571428
tele-nurse,1.8928571428571428
then-owner,1.8928571428571428
